2 12.7 59
2 12.7 59
2 12.7 70
2 12.7 70
2 25.4 419
2 25.4 419
3 25.4 50
1 8 350
1 8 350
1 8 450
1 8 450
2 12 500
2 12 500
2 25.4 250
2 25.4 275
2 25.4 275
3 25.4 350
2 25.4 300
3 25.4 300
2 25.4 100
3 26.5 3199
3 26.5 3199
3 26.5 600
2 26.5 1295
3 26.5 625
3 26.5 625
1 7 1650
1 7 1650
2 15 1650
2 15 1650
1 10 1500
1 10 1500
2 22.86 189
2 22.86 189
3 15 75
3 15 75
2 10 119
2 10 119
2 8 85
2 8 75
2 14 139
2 8 90
2 8 90
3 10 85
3 10 65
2 14 139
3 10 85
3 10 65
1 14 795
1 14 795
2 18 500
2 20 400
3 24 500
3 24 500
3 24 350
2 29 1200
2 29 1200
1 16 800
1 16 800
3 38 1495
3 38 1200
1 13 850
1 13 850
1 18 2000
1 18 2000
1 15 1600
1 15 1600
1 21 1795
1 21 1795
2 28 2100
2 28 2100
1 23 1999
1 23 1999
1 16 1500
1 16 1500
1 16 1495
1 16 1495
3 85 9995
2 55 2300
1 30 1995
2 48 2795
1 8 3500
1 8 3500
1 8 2800
3 80 2500
3 80 2500
3 38 1899
3 38 1899
2 30 500
2 30 500
3 38 1200
2 20 950
2 20 950
3 35 600
3 35 600
2 20 1900
2 10 83
2 10 83
2 10 79
2 10 79
1 8 175
1 8 150
2 12 60
2 12 60
2 12 145
2 12 145
3 14 113
3 14 113
2 12 89
2 12 89
1 9 125
1 9 125
3 14 125
3 14 125
3 18 119
3 18 119
2 12 17
2 12 17
2 12 25
2 12 25
1 9 60
1 9 100
1 9 100
3 18 20
3 18 20
3 18 75
3 18 75
1 10 90
1 10 90
1 9 60
1 9 60
1 9 45
1 9 45
1 9 40
1 9 40
2 12 20
2 12 20
2 12 25
2 12 25
3 18 35
3 18 35
1 9 30
1 9 30
3 18 40
3 18 40
1 10 35
1 10 35
3 18 90
3 18 90
1 9 13
1 9 13
1 10 75
1 10 75
1 10 60
1 10 60
1 9 90
1 9 90
2 12 20
2 12 20
3 18 75
3 18 75
2 12 30
2 12 30
2 12 19
2 12 19
2 12 15
2 12 15
2 12 109
2 12 109
3 12 75
3 12 75
3 12 65
3 12 65
2 12 120
2 12 120
2 12 140
2 12 140
2 10 19
2 10 19
1 8 5
1 8 5
2 10 25
2 10 25
2 10 20
2 10 20
2 10 12
2 10 12
2 10 20
2 10 20
3 10 8
3 10 8
2 10 20
3 10 6
3 10 6
2 30 249
2 30 249
2 30 550
2 30 550
1 15 475
1 15 475
2 30 375
2 30 375
2 30 275
2 30 275
1 17 300
1 17 300
2 25 200
2 25 200
3 30 300
3 30 300
2 25 800
2 28 850
2 28 850
1 17 750
1 17 750
1 17 300
1 17 300
1 17 250
1 17 250
1 11 349
1 11 349
1 15 250
1 15 250
2 25 350
2 25 350
2 30 300
2 30 300
2 27 225
2 27 225
2 27 325
2 27 325
2 19 550
2 21 500
2 21 500
1 11 350
1 11 350
3 30 500
3 30 500
2 18 350
1 15 325
1 9 300
1 9 300
2 25 350
2 25 350
1 17 400
1 17 400
2 21 449
1 9 300
1 9 300
2 28 99
2 28 99
2 26 219
2 26 219
2 29 119
2 29 119
2 30 159
2 30 159
2 25 139
2 25 139
1 20 200
1 20 200
1 20 120
1 20 120
1 18 100
1 18 100
2 23 100
2 23 100
2 28 360
2 28 360
1 16 125
1 16 125
1 18 150
1 18 150
1 20 100
1 20 100
1 16 80
1 16 80
1 15 150
1 15 150
1 18 125
1 18 125
2 23 140
2 23 140
1 9 220
1 9 220
1 16 120
1 16 120
2 28 150
2 28 150
2 26 200
2 23 125
2 23 125
2 21 85
3 30 200
3 30 200
2 21 120
2 21 120
3 30 175
3 30 175
2 24 140
2 25 80
2 28 350
2 28 350
3 30 200
3 30 200
1 21 1800
1 21 1800
1 15 900
1 15 900
1 17 1500
1 15 1300
1 18 1950
1 12 1950
1 22 2000
1 19 1800
1 19 1800
1 21 1800
1 21 1800
1 16 1200
1 16 1200
1 16 1250
1 16 1250
1 23 1775
3 35 2950
3 35 2950
1 19 1300
1 19 1200
3 26 700
1 23 1800
1 23 1800
1 23 1975
1 23 1975
1 8 1600
1 8 1600
1 16 1400
1 16 1400
2 11 199
2 11 199
2 12 249
2 12 249
2 11 229
2 11 229
1 8 125
1 8 125
2 11 187
2 11 187
2 11 349
2 11 349
2 10 99
2 10 99
2 11 249
2 11 445
2 11 295
3 12 120
1 8 250
1 8 250
3 12 300
2 11 295
1 9 130
1 9 130
2 11 349
2 11 349
1 9 120
2 11 280
1 9 250
1 9 250
2 20 699
2 20 699
3 23 200
3 23 200
1 6 500
1 6 500
1 15 650
2 20 875
2 20 875
1 8 450
1 8 450
1 12 350
1 13 795
1 13 795
3 23 500
3 23 699
3 23 699
2 76 1500
1 45 2300
1 45 2300
2 60 2000
2 60 2000
2 69 3000
2 69 3000
1 45 2400
1 49 2500
1 49 2500
1 45 2200
1 45 2200
3 87 1800
1 45 1430
2 70 1200
3 82 1000
2 70 1250
2 70 1250
1 49 3200
1 49 3200
1 48 1800
1 48 1800
2 60 1800
2 60 1800
1 50 2000
1 50 2000
3 76 1000
3 76 1000
2 60 500
2 60 500
1 40 950
1 40 950
2 50 2000
2 50 2000
1 15 1500
1 15 1500
1 16 2500
1 16 2500
1 25 750
1 25 750
3 78 1400
3 78 1400
3 80 2850
1 25 2195
1 25 2195
2 60 1800
2 60 1800
1 20 2400
1 50 1950
1 50 1950
3 82 1200
2 75 1000
1 40 1500
1 40 1500
1 50 1000
1 45 600
1 45 600
2 70 900
2 70 900
1 25 1695
1 25 1695
1 20 1849
1 20 1849
3 82 600
3 82 600
1 45 2000
1 45 2000
2 69 800
2 69 800
1 17 1900
1 17 1900
2 70 1600
2 70 1600
1 40 1800
1 40 1800
2 70 1100
1 20 1300
1 20 1300
3 85 500
2 60 1500
2 60 1500
3 82 1250
3 82 1250
3 80 1200
2 76 1600
3 80 1000
1 55 2500
1 55 2500
2 70 1000
2 70 1000
3 84 950
2 77 1800
3 82 2700
1 20 1200
1 20 1200
3 82 1150
1 15 2500
1 15 2500
2 62 1300
3 80 1300
3 80 1300
1 15 700
1 15 700
3 79 1000
2 23 505
2 23 505
1 8 450
1 8 450
3 28 295
3 28 295
1 8 500
1 8 500
1 10 395
1 10 395
3 27 200
3 27 200
2 21 640
1 10 395
1 10 395
1 7 300
1 7 300
2 23 475
2 23 475
2 20 250
2 20 250
2 21 325
2 21 325
1 15 400
1 15 400
2 19 300
1 16 600
1 16 600
1 9 300
1 9 300
3 27 300
3 27 250
1 11 400
1 11 400
1 7 230
1 7 230
1 16 600
1 16 650
2 22 325
2 22 325
